Alabama (AL),Huntsville,35801
Alaska (AK),Anchorage,99501
Arizona (AZ),Phoenix,85001
Arkansas (AR),Little Rock,72201
California (CA),Sacramento,94203
,Los Angeles,90001
,Beverly Hills,90209
Colorado (CO),Denver,80201
Conneticut (CT),Hartford,6101
Deleware (DE),Dover,19901
District of Columbia (DC),Washington,20001
Florida (FL),Pensacola,32501
,Miami,33124
,Orlando,32801
Georgia (GA),Atlanta,30301
Hawaii (HI),Honolulu,96801
Idaho (ID),Montpelier,83254
Illinois (IL),Chicago,60601
,Springfield,62701
Indiana (IN),Indianapolis,46201
Iowa (IA),Davenport,52801
,Des Moines,50301
Kansas (KS),Wichita,67201
Kentucky (KY),Hazard,41701
Lousiana (LA),New Orleans,70112
Maine (ME),Freeport,4032
Maryland (MD),Baltimore,21201
Massachusetts (MA),Boston,2101
Michigan (MI),Coldwater,49036
,Gaylord,49734
Minnesota (MN),Duluth,55801
Mississippo (MS),Biloxi,39530
Missouri (MO),St. Louis,63101
Montana (MT),Laurel,59044
Nebraska (NE),Hastings,68901
Nevada (NV),Reno,89501
New Hampshire (NH),Ashland,3217
New Jersey (NJ),Livingston,7039
New Mexico (NM),Santa Fe,87500
New York (NY),New York,10001
North Carolina (NC),Oxford,27565
North Dakota (ND),Walhalla,58282
Ohio (OH),Cleveland,44101
Oklahoma (OK),Tulsa,74101
Oregon (OR),Portland,97201
Pennsylvania (PA),Pittsburgh,15201
Rhode Island (RI),Newport,2840
South Carolina (SC),Camden,29020
South Dakota (SD),Aberdeen,57401
Tennessee (TN),Nashville,37201
Texas (TX),Austin,78701
Utah (UT),Logan,84321
Vermont (VT),Killington,5751
Virginia (VA),Altavista,24517
Washington (WA),Bellevue (home of windoze),98004
West Virginia (WV),Beaver,25813
Wisconsin (WI),Milwaukee,53201
Wyoming (WY),Pinedale,82941
