Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,,15000.0,Online,,Fixed,,0.10%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,15000.0,,Online,,Fixed,,0.60%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Online Savings,,,Online,,Fixed,,1.75%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Money Market,,5000.0,Online,,Fixed,,0.90%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Money Market,5000.0,,Online,,Fixed,,0.90%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Money Market,25000.0,,Online,,Fixed,,1.00%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CD_6 Months,,,Online,6.0,Fixed,,1.00%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD_12 Months,,5000.0,Online,12.0,Fixed,,2.10%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD_12 Months,5000.0,,Online,12.0,Fixed,,2.20%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CD_12 Months,25000.0,,Online,12.0,Fixed,,2.30%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CD_36 Months,,5000.0,Online,36.0,Fixed,,2.50%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CD_36 Months,5000.0,,Online,36.0,Fixed,,2.55%,Bank Website
 2018-07-10,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CD_36 Months,25000.0,,Online,36.0,Fixed,,2.55%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBF,Rewards Savings/Minor Savings,,2500.0,Offline,,Fixed,0.03%,0.03%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBF,Rewards Savings/Minor Savings,2500.0,,Offline,,Fixed,0.03%,0.03%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,,50000.0,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,50000.0,99999.0,Offline,,Fixed,0.02%,0.02%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,100000.0,,Offline,,Fixed,0.02%,0.02%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,06 - 11 Months,,10000.0,Offline,6.0,Fixed,0.03%,0.03%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,12MCDF,12 - 17 Months,,10000.0,Offline,12.0,Fixed,0.05%,0.05%,Bank Website
 2018-07-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,36 - 47 Months,,10000.0,Offline,36.0,Fixed,0.55%,0.55%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 Money Market,,10000.0,Online,,Fixed,0.8467%,0.85%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 Money Market,10000.0,,Online,,Fixed,1.7361%,1.75%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 Savings,0.0,,Online,,Fixed,0.9954%,1.00%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 IRA Savings Traditional,0.0,,Online,,Fixed,0.9954%,1.00%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,6MCDF,360 CDs 6 months,1000000.0,,Online,6.0,Fixed,0.5984%,0.60%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,360 CDs 12 months,1000000.0,,Online,12.0,Fixed,2.2761%,2.30%,Bank Website
 2018-07-10,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,36MCDF,360 CDs 36 months,1000000.0,,Online,36.0,Fixed,2.5207%,2.55%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Interest Checking AccountFootnote 1,,25000.0,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Interest Checking AccountFootnote 1,25000.0,49999.0,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Interest Checking AccountFootnote 1,50000.0,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,,10000.0,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,10000.0,24999.0,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,25000.0,49999.0,Offline,,Fixed,0.08%,0.08%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,50000.0,99999.0,Offline,,Fixed,0.08%,0.08%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,100000.0,499999.0,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,500000.0,999999.0,Offline,,Fixed,0.13%,0.13%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account PackageFootnote 1,1000000.0,,Offline,,Fixed,0.13%,0.13%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,,10000.0,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,10000.0,24999.0,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,25000.0,49999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,50000.0,99999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,100000.0,499999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,500000.0,999999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Basic Banking Package,1000000.0,,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,,10000.0,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,10000.0,24999.0,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,25000.0,49999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,50000.0,99999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,100000.0,499999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,500000.0,999999.0,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,1000000.0,,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,,10000.0,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,10000.0,24999.0,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,25000.0,49999.0,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,50000.0,99999.0,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,100000.0,499999.0,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,500000.0,999999.0,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6-Month,1000000.0,,Offline,6.0,Fixed,0.07%,0.07%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,,10000.0,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,10000.0,24999.0,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,25000.0,49999.0,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,50000.0,99999.0,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,100000.0,499999.0,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,500000.0,999999.0,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1-Year,1000000.0,,Offline,12.0,Fixed,0.25%,0.25%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,,10000.0,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,10000.0,24999.0,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,25000.0,49999.0,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,50000.0,99999.0,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,100000.0,499999.0,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,500000.0,999999.0,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3-Year,1000000.0,,Offline,36.0,Fixed,0.70%,0.70%,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,0.0,4999.0,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,5000.0,9999.0,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-07-10,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,10000.0,24999.0,Offline,,Fixed,0.01%,0.01%,Bank Website
