Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,Savings,10000,,Online,,Fixed,,1.75%,Bankrate.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,36MCDF,CD,0,,Online,36.0,Fixed,,2.55%,Bankrate.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,CD,0,,Online,12.0,Fixed,,2.40%,Bankrate.com
 2018-08-21,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Checking,,,Offline,,Fixed,,0.01,Bankrate.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Checking,,,Offline,,Fixed,,0.01,Bankrate.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Checking,,,Offline,,Fixed,,0.01,Bankrate.com
 2018-08-21,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Checking,,,Offline,,Fixed,,0.00,Bankrate.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Checking,,,Offline,,Fixed,,0.00,Bankrate.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBF,High Yield Savings,,,Online,,Fixed,,1.85%,DepositAccounts.com
 2018-08-21,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBF,Online Savings Account,,,Online,,Fixed,,1.80%,DepositAccounts.com
 2018-08-21,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCF,Interest Checking Account,15000,,Online,,Fixed,,0.60%,DepositAccounts.com
 2018-08-21,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield 6-Month CD,,,Online,6.0,Fixed,,1.00%,DepositAccounts.com
 2018-08-21,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield 12-Month CD,25000,,Online,12.0,Fixed,,2.40%,DepositAccounts.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,12 Month 360 CD,,,Offline,12.0,Fixed,,2.40%,DepositAccounts.com
 2018-08-21,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,36MCDF,36 Month CD,2000,,Online,36.0,Fixed,,2.70%,DepositAccounts.com
 2018-08-21,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield 3 Year CD,5000,,Online,36.0,Fixed,,2.55%,DepositAccounts.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBF,360 Savings Account,,,Offline,,Fixed,,1.00%,DepositAccounts.com
 2018-08-21,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Citibank Account Package,25000,,Offline,,Fixed,,0.08%,DepositAccounts.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBF,Rewards Savings,,,Offline,,Fixed,,0.03%,DepositAccounts.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Savings,_MSBF,Chase Premier Savings - Standard,,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Savings,_MSBF,Platinum Savings - Standard Interest Rate,,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Standard Savings,,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Checking,_MCCF,360 Checking,,,Offline,,Fixed,,0.20%,DepositAccounts.com
 2018-08-21,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCF,Citigold Interest Checking,,,Offline,,Fixed,,0.03%,DepositAccounts.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCF,Bank of America Interest Checking,,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Platinum Checking,,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCF,Performance Interest Checking,2000,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Select Checking,,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Checking,_MCCF,Wells Fargo Preferred Checking ,500,,Offline,,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,6 - 11 Month CD,1000,,Offline,6.0,Fixed,,0.03%,DepositAccounts.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,6MCDF,6-8 Month CD - Standard,1000,100000,Offline,6.0,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,12 Month 360 CD,,,Offline,12.0,Fixed,,2.40%,DepositAccounts.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,12 Month CD,25000,,Offline,12.0,Fixed,,0.18%,DepositAccounts.com
 2018-08-21,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,1 Year CD,25000,,Offline,12.0,Fixed,,0.10%,DepositAccounts.com
 2018-08-21,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,12MCDF,12-14 Month CD - Standard,1000,100000,Offline,12.0,Fixed,,0.01%,DepositAccounts.com
 2018-08-21,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,36MCDF,36 Month 360 CD,,,Offline,36.0,Fixed,,2.55%,DepositAccounts.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,36 - 47 Month CD,1000,,Offline,36.0,Fixed,,0.55%,DepositAccounts.com
