Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,30 year fixed,,Offline,30,Fixed,5.200%,5.200%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,15 year fixed,,Offline,30,Fixed,4.751%,4.751%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 year fixed,,Offline,30,Fixed,5.095%,5.095%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,30 year fixed,,Offline,30,Fixed,5.125%,5.125%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,5.114%,5.114%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,5.148%,5.148%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,15 year fixed,,Offline,30,Fixed,4.550%,4.550%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,15 year fixed,,Offline,30,Fixed,4.661%,4.661%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30,Variable,5.233%,5.233%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
 2018-09-25,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,30 year fixed,,Offline,30,Fixed,4.625%,4.625%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bankrate.com
